Date,USD/DXY_Open,USD/DXY_High,USD/DXY_Low,USD/DXY_Close,USD/DXY_Volume,US500_Open,US500_High,US500_Low,US500_Close,US500_Volume,US30_Open,US30_High,US30_Low,US30_Close,US30_Volume,XCU/USD_Close,XCU/USD_High,XCU/USD_Low,XCU/USD_Open,XCU/USD_Volume,XPB/USD_Open,XPB/USD_High,XPB/USD_Low,XPB/USD_Close,XPB/USD_Volume,EUR/USD_Open,EUR/USD_High,EUR/USD_Low,EUR/USD_Close,EUR/USD_Volume,XAU/USD_Open,XAU/USD_High,XAU/USD_Low,XAU/USD_Close,XAU/USD_Volume,XAG/USD_Open,XAG/USD_High,XAG/USD_Low,XAG/USD_Close,XAG/USD_Volume,USD/CAD_Open,USD/CAD_High,USD/CAD_Low,USD/CAD_Close,USD/CAD_Volume,USD/JPY_Open,USD/JPY_High,USD/JPY_Low,USD/JPY_Close,USD/JPY_Volume,XAU/GBP_Open,XAU/GBP_High,XAU/GBP_Low,XAU/GBP_Close,XAU/GBP_Volume,XAU/AUD_Open,XAU/AUD_High,XAU/AUD_Low,XAU/AUD_Close,XAU/AUD_Volume,GBP/USD_Open,GBP/USD_High,GBP/USD_Low,GBP/USD_Close,GBP/USD_Volume,XNI/USD_Open,XNI/USD_High,XNI/USD_Low,XNI/USD_Close,XNI/USD_Volume,XAG/AUD_Open,XAG/AUD_High,XAG/AUD_Low,XAG/AUD_Close,XAG/AUD_Volume,XAU/EUR_Open,XAU/EUR_High,XAU/EUR_Low,XAU/EUR_Close,XAU/EUR_Volume,XAG/EUR_Open,XAG/EUR_High,XAG/EUR_Low,XAG/EUR_Close,XAG/EUR_Volume,BTC/USD_Open,BTC/USD_High,BTC/USD_Low,BTC/USD_Close,BTC/USD_Volume,BTC/XAU_Open,BTC/XAU_High,BTC/XAU_Low,BTC/XAU_Close,BTC/XAU_Volume,BTC/XAG_Open,BTC/XAG_High,BTC/XAG_Low,BTC/XAG_Close,BTC/XAG_Volume,EUR/AUD_Open,EUR/AUD_High,EUR/AUD_Low,EUR/AUD_Close,EUR/AUD_Volume
2017-01-25,99.9081402843116,99.9081402843116,99.9081402843116,99.9081402843116,,,,,,,,,,,,5957.985781273842,5971.213068161011,5942.552982931137,5942.552982931137,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,113.846,113.979,113.03,113.269,0.0,963.855,964.169,947.344,949.6,0.0,1591.683,1602.128,1581.605,1584.451,0.0,1.25316,1.2638,1.24906,1.26338,0.0,,,,,,22.452,22.584,22.212,22.373,0.0,1126.051,1126.114,1111.923,1115.855,0.0,15.873,15.873,15.591,15.743,0.0,,,,,,,,,,,,,,,,1.41316,1.42749,1.41205,1.41947,0.0
2017-01-26,100.51339488734595,100.51339488734595,100.51339488734595,100.51339488734595,,,,,,,,,,,,5877.516676111221,5949.166889185905,5864.289389224052,5949.166889185905,323.0,,,,,,,,,,,,,,,,,,,,,,,,,,113.269,114.856,113.046,114.422,0.0,949.538,950.415,941.117,942.369,0.0,1584.41,1585.486,1572.223,1576.464,0.0,1.26338,1.26727,1.25564,1.25956,0.0,,,,,,22.37,22.401,22.102,22.224,0.0,1115.807,1116.485,1106.463,1111.213,0.0,15.742,15.77,15.538,15.654,0.0,,,,,,,,,,,,,,,,1.41947,1.42272,1.41587,1.41825,0.0
2017-01-27,100.62784889214144,100.62784889214144,100.62784889214144,100.62784889214144,,,,,,,,,,,,5908.381747174262,5908.381747174262,5859.879943180084,5887.437798304558,985.0,,,,,,,,,,,,,,,,,,,,,,,,,,114.424,115.373,114.386,115.1,0.0,942.398,948.877,939.843,948.097,0.0,1576.488,1577.764,1564.518,1576.776,0.0,1.25952,1.26051,1.25163,1.25453,0.0,,,,,,22.225,22.744,22.003,22.643,0.0,1111.225,1112.872,1104.216,1112.359,0.0,15.653,16.04,15.515,15.963,0.0,,,,,,,,,,,,,,,,1.41828,1.42228,1.41445,1.41643,0.0
2017-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.646,114.952,114.567,114.65,0.0,946.326,949.107,946.126,947.212,0.0,1574.51,1579.86,1574.395,1579.717,0.0,1.25883,1.25993,1.25583,1.25945,0.0,,,,,,22.588,22.717,22.581,22.706,0.0,1110.718,1113.614,1110.304,1113.368,0.0,15.924,16.01,15.914,15.991,0.0,,,,,,,,,,,,,,,,1.41706,1.41926,1.41604,1.41854,0.0
2017-01-30,100.38627308978091,100.38627308978091,100.38627308978091,100.38627308978091,,,,,,,,,,,,5836.731534099578,5912.790667595863,5812.480369291306,5910.586207385063,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,114.651,114.932,113.449,113.682,0.0,947.154,958.331,946.682,956.279,0.0,1579.663,1587.038,1572.823,1580.565,0.0,1.25947,1.26002,1.24655,1.24996,0.0,,,,,,22.705,22.823,22.531,22.604,0.0,1113.27,1122.326,1110.145,1116.459,0.0,15.99,16.135,15.899,15.955,0.0,,,,,,,,,,,,,,,,1.41854,1.42147,1.40953,1.41525,0.0
2017-01-31,99.59046807638067,99.59046807638067,99.59046807638067,99.59046807638067,,,,,,,,,,,,5999.873153390884,5999.873153390884,5859.879943180084,5859.879943180084,595.0,,,,,,,,,,,,,,,,,,,,,,,,,,113.674,113.961,112.077,112.771,0.0,956.288,968.531,955.235,961.661,0.0,1580.618,1599.542,1580.4,1597.888,0.0,1.24996,1.25959,1.24121,1.25865,0.0,,,,,,22.603,23.114,22.589,23.1,0.0,1116.468,1125.075,1115.736,1120.814,0.0,15.954,16.25,15.952,16.192,0.0,,,,,,,,,,,,,,,,1.41523,1.42546,1.413,1.42519,0.0
2017-02-01,99.79325450451694,99.79325450451694,99.79325450451694,99.79325450451694,,,,,,,,,,,,5962.394701695442,5992.157017030716,5959.088011379242,5992.157017030716,691.0,,,,,,,,,,,,,,,,,,,,,,,,,,112.771,113.948,112.743,113.291,0.0,961.66,962.675,947.484,954.591,0.0,1597.803,1601.654,1585.683,1594.23,0.0,1.25862,1.26795,1.25424,1.26595,0.0,,,,,,23.099,23.155,22.936,23.093,0.0,1120.804,1123.135,1114.57,1122.382,0.0,16.193,16.285,16.105,16.248,0.0,,,,,,,,,,,,,,,,1.4252,1.429,1.41863,1.41991,0.0
2017-02-02,99.88194981780904,99.88194981780904,99.88194981780904,99.88194981780904,,,,,,,,,,,,5903.972301130295,5983.338650565147,5875.312215900421,5983.338650565147,526.0,,,,,,,,,,,,,,,,,,,,,,,,,,113.287,113.291,112.05,112.812,0.0,954.61,974.835,954.168,969.231,0.0,1594.199,1594.26,1581.94,1585.678,0.0,1.2659,1.27057,1.25176,1.25188,0.0,,,,,,23.094,23.103,22.641,22.72,0.0,1122.572,1131.548,1122.483,1127.657,0.0,16.251,16.335,16.08,16.146,0.0,,,,,,,,,,,,,,,,1.4197,1.4197,1.40381,1.40578,0.0
2017-02-03,99.7570650363079,99.7570650363079,99.7570650363079,99.7570650363079,,,,,,,,,,,,5752.955738620758,5832.32208805561,5747.444588093757,5832.32208805561,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,112.79,113.453,112.312,112.556,0.0,969.268,976.657,966.301,976.183,0.0,1585.761,1588.782,1580.028,1586.694,0.0,1.25188,1.25372,1.24545,1.24814,0.0,,,,,,22.722,22.749,22.557,22.726,0.0,1127.629,1130.632,1125.562,1130.259,0.0,16.148,16.204,16.032,16.179,0.0,,,,,,,,,,,,,,,,1.40579,1.40755,1.39975,1.40231,0.0
2017-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.468,112.701,112.335,112.644,0.0,974.662,978.972,974.602,977.111,0.0,1585.172,1591.896,1584.843,1589.783,0.0,1.24906,1.2494,1.24755,1.24828,0.0,,,,,,22.732,22.796,22.688,22.719,0.0,1128.621,1132.976,1128.222,1131.328,0.0,16.172,16.207,16.137,16.158,0.0,,,,,,,,,,,,,,,,1.40702,1.40778,1.40339,1.40479,0.0
