Date,EURUSD_Open,EURUSD_High,EURUSD_Low,EURUSD_Close,EURUSD_Volume,GBPUSD_Open,GBPUSD_High,GBPUSD_Low,GBPUSD_Close,GBPUSD_Volume,AUDUSD_Open,AUDUSD_High,AUDUSD_Low,AUDUSD_Close,AUDUSD_Volume,USDCAD_Open,USDCAD_High,USDCAD_Low,USDCAD_Close,USDCAD_Volume,USDCHF_Open,USDCHF_High,USDCHF_Low,USDCHF_Close,USDCHF_Volume,USDJPY_Open,USDJPY_High,USDJPY_Low,USDJPY_Close,USDJPY_Volume,NZDUSD_Open,NZDUSD_High,NZDUSD_Low,NZDUSD_Close,NZDUSD_Volume,XAUUSD_Open,XAUUSD_High,XAUUSD_Low,XAUUSD_Close,XAUUSD_Volume,XAGUSD_Open,XAGUSD_High,XAGUSD_Low,XAGUSD_Close,XAGUSD_Volume,USOIL_Open,USOIL_High,USOIL_Low,USOIL_Close,USOIL_Volume,DXY_Open,DXY_High,DXY_Low,DXY_Close,DXY_Volume,CADJPY_Open,CADJPY_High,CADJPY_Low,CADJPY_Close,CADJPY_Volume
2021-01-31,1.22287,1.23492,1.20534,1.21211,0,1.36502,1.37583,1.34506,1.36958,0,0.77,0.78197,0.75916,0.76203,0,1.27284,1.28806,1.2589,1.27993,0,0.88348,0.8925,0.87575,0.89129,0,103.179,104.937,102.59,104.705,0,0.71874,0.73149,0.70958,0.71621,0,1909.364,1959.347,1802.588,1855.883,0,26.635,28.989,24.12,28.582,0,48.392,53.907,47.233,51.89,0,,,,,,81.101,82.201,80.554,81.785,0
2021-02-28,1.21226,1.22427,1.19521,1.20895,0,1.36972,1.42405,1.35662,1.39701,0,0.76203,0.80067,0.75634,0.77519,0,1.28004,1.28692,1.24675,1.26959,0,0.89145,0.91015,0.88709,0.90721,0,104.715,106.689,104.407,106.471,0,0.71636,0.7464,0.71344,0.72681,0,1855.828,1871.773,1717.105,1739.294,0,28.583,30.033,25.884,26.782,0,51.89,63.692,51.796,62.362,0,90.087,90.955,89.678,90.759,0.0,81.798,85.092,81.567,83.84,0
2021-03-31,1.20885,1.21008,1.17039,1.17268,0,1.39704,1.40167,1.36689,1.37853,0,0.7752,0.78488,0.75627,0.75935,0,1.26969,1.27367,1.23647,1.25637,0,0.90722,0.94583,0.90707,0.94389,0,106.47,110.962,106.364,110.754,0,0.72681,0.72919,0.69427,0.6982,0,1739.321,1759.808,1676.702,1707.442,0,26.782,27.056,23.763,24.414,0,62.362,67.84,57.305,59.569,0,90.757,93.422,90.668,93.19,0.0,83.839,88.236,83.774,88.143,0
2021-04-30,1.17267,1.21496,1.17125,1.20199,0,1.37852,1.40089,1.36683,1.38154,0,0.75937,0.78175,0.75315,0.77112,0,1.25634,1.26534,1.22656,1.22915,0,0.94388,0.94723,0.90797,0.91317,0,110.753,110.844,107.475,109.324,0,0.69821,0.72861,0.69452,0.716,0,1707.449,1797.812,1705.798,1768.832,0,24.415,26.628,24.235,25.893,0,59.55,65.365,57.637,63.398,0,93.18,93.317,90.411,91.281,0.0,88.144,89.04,85.421,88.935,0
2021-05-31,1.20236,1.22661,1.19857,1.22323,0,1.38102,1.42337,1.37995,1.42267,0,0.77172,0.78904,0.76747,0.7743,0,1.22893,1.23512,1.20126,1.20608,0,0.91191,0.91643,0.89304,0.89839,0,109.262,110.197,108.337,109.491,0,0.71678,0.7316,0.71151,0.72758,0,1767.114,1912.672,1766.102,1908.043,0,25.854,28.728,25.79,28.063,0,63.589,67.389,61.499,66.852,0,91.248,91.422,89.522,89.778,0.0,88.874,91.158,88.429,90.775,0
2021-06-30,1.22325,1.22539,1.18449,1.18557,0,1.42264,1.42478,1.37863,1.38281,0,0.77429,0.77752,0.74775,0.74969,0,1.20604,1.24866,1.20066,1.23936,0,0.89836,0.92619,0.89257,0.92508,0,109.492,111.135,109.189,111.129,0,0.72756,0.72876,0.69224,0.69951,0,1908.046,1916.502,1750.659,1768.169,0,28.067,28.535,25.52,26.078,0,66.85,74.14,66.775,73.096,0,89.776,92.435,89.652,92.353,0.0,90.777,91.178,87.96,89.656,0
2021-07-31,1.18558,1.19085,1.17516,1.18676,0,1.38283,1.39831,1.35718,1.39061,0,0.7497,0.75986,0.72893,0.73445,0,1.2394,1.2807,1.23024,1.24674,0,0.9251,0.92742,0.9039,0.90528,0,111.131,111.655,109.063,109.675,0,0.69956,0.71049,0.68806,0.69707,0,1768.199,1834.047,1765.699,1813.99,0,26.08,26.76,24.481,25.473,0,73.095,76.375,64.98,73.313,0,92.356,93.181,91.767,92.067,0.0,89.657,90.184,85.419,87.957,0
2021-08-31,1.18635,1.18995,1.16639,1.18097,0,1.38975,1.39573,1.36019,1.3752,0,0.73364,0.74262,0.71048,0.73173,0,1.24755,1.29483,1.24524,1.26161,0,0.90535,0.92419,0.90182,0.91534,0,109.661,110.798,108.72,110.053,0,0.69645,0.70881,0.68047,0.70504,0,1814.449,1831.713,1686.882,1814.469,0,25.484,25.988,22.211,23.891,0,73.397,73.483,61.785,68.336,0,92.094,93.717,91.803,92.643,0.0,87.884,88.455,84.667,87.223,0
2021-09-30,1.18096,1.19088,1.15624,1.15736,0,1.37521,1.39128,1.34109,1.34685,0,0.73175,0.74776,0.71699,0.72284,0,1.26164,1.28955,1.24932,1.26838,0,0.91535,0.93681,0.91151,0.93257,0,110.055,112.075,109.11,111.462,0,0.70506,0.71697,0.6859,0.68956,0,1814.482,1833.915,1721.609,1753.115,0,23.889,24.854,21.407,22.084,0,68.333,76.484,66.99,75.052,0,92.644,94.491,91.929,94.296,0.0,87.228,88.311,84.896,87.87,0
2021-10-31,1.15735,1.16918,1.15242,1.15559,0,1.34686,1.38341,1.34334,1.36822,0,0.72281,0.75551,0.71917,0.75174,0,1.26842,1.27383,1.22867,1.23832,0,0.93254,0.93373,0.91021,0.91615,0,111.46,114.696,110.82,114.234,0,0.68957,0.72179,0.68762,0.71749,0,1753.108,1813.683,1745.897,1780.063,0,22.087,24.81,21.978,23.76,0,75.044,84.948,74.04,82.111,0,94.296,94.548,93.263,94.176,0.0,87.866,93.015,87.178,92.24,0
